SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99937722,HP,Combo Teclado + Mouse 300 Wireless,1,14.989
99921658,Genius,Combo Teclado + Mouse C130 USB Negro,1,3.989
99936112,HP,Combo Teclado + Mouse HP 160 USB Negro,2,9.989
99925616,Spektra,Combo Teclado + Mouse MKC-117 USB Negro,2,5.989
9996537,Microsoft,Combo Teclado + Mouse Optical Desktop 600 USB,1,8.990
99941413,Kensington,"Combo Teclado + Mouse Pro Fit ERGO Inalámbrico DualWireless - Bluetooth  Negro",1,24.990
99917368,Genius,Combo Teclado + Mouse Slimstar i820,1,14.989
99935965,Corsair,"Combo Teclado Gamer K55 Inglés + Mouse Gamer HarpoonRGB LED USB",3,71.399
99944794,Gamdias,"Combo Teclado Hermes E1C + Mouse Gamer Multi 3-in-1Brown Switch US Silver",2,49.980
99935351,Gamdias,"Combo Teclado Hermes Lite + Mouse Erebos Lite GamerEspañol",1,46.053
Componentes Electrónicos,,,,
99930547,PCF OEM,40-pin placa extensora FPC + cable FFC 200m,1,990
99930565,PCF OEM,Capacitor Electrolitico 4700uF 10V,2,490
99930462,PCF OEM,Resistores through-hole 2.2k 1/4W 5% - 25pcs,1,490
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99930553,Adafruit,Shield para Arduino - 12 x Touch Capacitivo,1,4.990
Conectores de Red,,,,
99925642,Spektra,Faceplate dos puertos,3,490
99921696,Spektra,Faceplate un puerto,2,490
9998176,Air802,Faceplate un puerto,1,490
99925917,Tenda,Inyector PoE 10/100 15W 48V,1,2.990
99934876,Tripp Lite,"Juego Extensor Activo DisplayPort a HDMI sobre Cat5 / Cat6,45m",1,19.990
99943297,TPLink,Splitter PoE,1,5.990
Cámaras Análogas,,,,
99927736,Kguard,Camara de vigilancia tipo bala 1080p AHD,1,12.990
Cámaras IP,,,,
99916607,Genius,Camara IP SmartCam 220,10,9.990
99925633,AirLive,Carcaza de seguridad para camara Airlive BC-5010,1,5.990
99910549,DLink,Cámara IP Inalambrica DCS-2130,1,24.990
99916061,Opexia,Cámara IP Inalámbrica,1,19.990
99917110,DLink,Cámara IP Inalámbrica DCS-5020L,1,29.990
9991517,DLink,Cámara IP Inalámbrica DCS-930L,3,9.990
99919118,DLink,Cámara IP Power Line Domo DCS-6045 LKT,1,39.990
99944835,Xiaomi,Mi Wireless Outdoor Security Camera 1080p con receptor,1,71.400
99929921,HIKVISION,Soporte para Mini PTZ DS-2DE2202-DE3/W,1,5.990
DVD,,,,
99922600,Asus,DVDRW SATA 24x Negro DRW-24F1ST,29,4.990
99914759,LG,DVDRW SATA 24x Negro OEM GH24NS,185,2.990
99919300,LG,DVDRW SATA 24x Negro OEM GH24NSC0B,281,2.990
Desktop,,,,
99948001,Gear,"Desktop  AMD Ryzen 3 PRO 4350G 8GB 1TB HDD + 128GBSSD",1,419.990
99946071,Gear,Desktop AMD Athlon 3000G 8GB 1TB,1,299.990
99947178,Gear,Desktop AMD Ryzen 3 Pro 4350G 8GB 240GB SSD DVDRW,1,399.990
99947546,Gear,"Desktop Gamer Blue Demon Intel Core i5-10400 8GB 500GBSSD NVIDIA PH-GTX1650 4GB",2,699.990
99946217,Gear,"Desktop Gamer Blue Demon Intel i5-11400 Tray 8GB 1TBNVIDIA GTX 1650 4GB",1,739.990
99946402,Gear,"Desktop Gamer Red Demon AMD Ryzen 5 5600x 8GB 1TB +128GB SSD NVIDIA GTX1660 S 6GB",1,1.199.990
99945341,Gear,"Desktop Gamer Red Demon Intel Core i5-10400 8GB 240GBSSD NVIDIA GTX1650 Phoenix 4GB",1,655.690
99946454,Gear,Desktop Intel Celeron Prime j4005i 4GB 1TB,1,299.990
99937545,Gear,Desktop Intel Core i5-10400 8GB 1TB DVDRW,1,229.989
99945525,Gear,Desktop Intel Core i5-11400 8GB 250GB SSD DVDRW,1,269.990
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99940258,Gear,Desktop Intel Core i5-9400F 8GB 1TB Windows 10 Home,1,269.990
99944169,Gear,Desktop Intel Pentium Gold G6405 4GB 1TB,1,189.989
99943968,Gear,Desktop Intel Pentium Gold G6405 4GB 1TB,1,189.989
99944936,Gear,LIQ - Desktop AMD A10-9700 4GB 1TB,1,153.591
99948972,Gear,"LIQ - Desktop AMD Ryzen 5 5600G 8GB 1TB HDD + 480GBSSD",1,356.967
99947239,Gear,LIQ - Desktop AMD Ryzen 5 5600G 8GB 250GB SSD,1,290.122
99947170,Gear,"LIQ - Desktop Gamer Blue Demon Intel Core i3-10105 8GB1TB NVIDIA GTX 1050Ti 4GB",1,400.244
99947564,Gear,"LIQ - Desktop Gamer Blue Demon Intel Core i3-9100F 8GB1TB NVIDIA GTX1050Ti 4GB",1,230.148
99946717,Gear,"LIQ - Desktop Gamer Blue Demon Intel Core i7-11700K 16GB480GB SSD NVIDIA RTX 2060 12GB",1,1.035.090
99947467,Gear,"LIQ - Desktop Gamer Blue Demon Intel i3-10100F 8GB 1TBNVIDIA PH-GTX 1650 4GB",2,388.143
99947096,Gear,"LIQ - Desktop Gamer Blue Demon Intel i5-10400 8GB 1TBNVIDIA GTX 1650 4GB",1,454.782
99946698,Gear,"LIQ - Desktop Gamer Blue Demon Intel i5-11400 8GB 1TBNVIDIA GTX 1660 6GB",3,717.490
99947501,Gear,"LIQ - Desktop Gamer Intel Core i3-10105F 8GB 1TB NVIDIAGTX1650 Phoenix",1,423.690
99947407,Gear,"LIQ - Desktop Gamer Intel Core i3-9100F 8GB 1TB NVIDIAGTX1650 Phoenix",1,436.090
